codice|prezzo
PO650TX MG                    |                  1.43430
PO650TX TA                    |                  1.10250
PO651D  BIBE                  |                  1.87000
PO651TX   BI                  |                  1.97600
PO651TX BIBE                  |                  2.10000
PO651TX TA                    |                  1.15500
PR021                         |                  0.86320
PR029                         |                  1.29480
PR030                         |                  1.42760
PR033                         |                  0.99600
PR035                         |                  1.29480
PR037                         |                  2.15800
PR081                         |                  1.06240
PR129                         |                  0.72907
PR130                         |                  0.79187
PR135                         |                  0.81918
PR145                         |                  1.33250
PR229                         |                  1.04140
PR421                         |                  0.76457
PR810                         |                  0.50516
PROG420                       |                  1.22840
SC021                         |                  1.56040
SC022                         |                  0.89640
SC025                         |                  1.26160
SC029                         |                  1.49400
SC030                         |                  1.66000
SC031                         |                  1.02920
SC033                         |                  0.99600
SC034                         |                  1.12880
SC035                         |                  1.12880
SC035B                        |                  1.12880
SC037                         |                  1.79280
SC045                         |                  2.05840
SC050                         |                  1.79280
SC061                         |                  2.65600
SC063                         |                  2.95480
SC068                         |                  2.75560
SC069                         |                  2.75560
SC070                         |                  2.05840
SC081                         |                  1.59360
SC118                         |                  1.07830
SC129                         |                  0.84870
SC130                         |                  0.93480
SC131                         |                  0.59527
SC135                         |                  0.70176
SC145                         |                  1.04960
SC150                         |                  0.76457
SC161                         |                  0.93113
SC162                         |                  1.03490
SC163                         |                  1.11408
SC164                         |                  1.02124
SC165                         |                  1.06600
SC166                         |                  1.15210
SC229                         |                  1.37350
SC550                         |                  3.81300
SC800                         |                  0.97000
SC810                         |                  0.73390
SCH024                        |                  1.26160
SCH041                        |                  1.22840
SCH421                        |                  0.74818
SCHG420                       |                  1.06240
SE021                         |                  1.06240
SE022                         |                  1.49400
SE023                         |                  1.29480
SE024                         |                  0.92960
SE025                         |                  0.92960
SE029                         |                  1.26160
SE030                         |                  1.29480
SE035                         |                  1.95880
SE035B                        |                  1.95880
SE037                         |                  2.32400
SE045                         |                  2.62280
SE070                         |                  3.25360
SE081                         |                  1.56040
SE118                         |                  0.74686
SE123                         |                  0.67173
SE129                         |                  0.69903
SE130                         |                  0.72361
SE132                         |                  0.83283
SE135                         |                  0.96760
SE148                         |                  1.33250
SE150                         |                  0.53505
SE229                         |                  1.00860
SE810                         |                  0.72361
SED041                        |                  2.09160
SED048                        |                  2.62280
SO034                         |                  0.47682
SOSTPAR421                    |                  0.22857
SP005                         |                  2.78880
SP205                         |                  1.52520
SP358                         |                  3.67569
SP359                         |                  2.00000
SP360                         |                  4.17692
SP361                         |                  2.59226
SP365                         |                  2.08846
SP366                         |                  1.29613
SP367                         |                  2.64000
SP368                         |                  1.29613
SP369                         |                  2.64000
SS229                         |                  0.86014
STOV40X30BIBE                 |                  0.44460
SU062                         |                  2.09160
TE027                         |                  0.69720
TE054                         |                  0.00000
TE061                         |                  0.89640
TE127                         |                  0.47355
TEL601                        |                  1.39440
TP127PE AG                    |                  2.15600
TP127PE BL                    |                  2.15600
TP127PE NE                    |                  2.15600
TP127PE TA                    |                  2.15600
TP900PE TA                    |                  2.21200
TR330                         |                  1.48949
TR331                         |                  0.40413
TS014TX VN                    |                  3.20260
TS021TX BIBE                  |                  3.95200
TS022PE NA                    |                  1.40000
